Top_K_Features,Accuracy,Precision,Recall,F1,ROC_AUC
3,0.6976756145222668,0.7078792630341043,0.8074584153103201,0.7543969586832101,0.7510153661075061
5,0.6986012547567623,0.7197489055918064,0.7792881416562333,0.7483361243505517,0.7498197884236231
10,0.7022009667798005,0.7217241095665049,0.7846539080665355,0.751874544753417,0.7541633062090004
15,0.697264218862491,0.7185668290266656,0.7783938472545162,0.7472848250697575,0.7493481953000458
