Task,Model,Accuracy,Precision,Recall,F1,ROC_AUC,Brier
Task A,Logistic Regression,0.9963488635194899,0.9949220489977728,0.9987479878375961,0.9968313473468112,0.9996978077060994,0.002433692185595335
Task A,SVM,0.9955774966574102,0.994033837934105,0.9983008406367376,0.9961627699446725,0.9996498573371012,
Task A,Random Forest,0.9685282320271521,0.9705306267806267,0.974870327311751,0.9726956366556616,0.9969406993641938,0.02328818825194648
Task A,KNN,0.95700915355343,0.9564143285689077,0.969415131461277,0.9628708473974062,0.9941011847799232,0.035484041743132855
